genre,color,font_size,left,top
maga rap,"rgb(165, 144, 4)",102%,1088px,6780px
icelandic classical,"rgb(34, 163, 173)",102%,354px,19826px
karadeniz pop,"rgb(167, 131, 8)",102%,793px,9910px
indonesian reggae,"rgb(172, 40, 85)",102%,413px,11127px
latin classical,"rgb(62, 156, 126)",102%,752px,20548px
rhythm and blues,"rgb(118, 129, 11)",102%,829px,16243px
chicago house,"rgb(187, 128, 127)",102%,1242px,906px
uk dancehall,"rgb(181, 136, 12)",102%,1101px,5634px
future rock,"rgb(217, 112, 100)",102%,387px,2452px
music box,"rgb(55, 186, 169)",102%,989px,14807px
bandinhas,"rgb(208, 123, 5)",102%,924px,5316px
rap uliczny,"rgb(181, 130, 7)",102%,1076px,8287px
samba-jazz,"rgb(81, 154, 104)",102%,856px,18481px
vaporwave,"rgb(153, 133, 157)",102%,567px,7223px
afrobeat,"rgb(172, 121, 74)",102%,1025px,11448px
arab electronic,"rgb(172, 145, 162)",102%,1130px,1904px
spectra,"rgb(92, 150, 146)",102%,354px,14722px
rune folk,"rgb(120, 143, 102)",102%,317px,11188px
italian soundtrack,"rgb(67, 161, 175)",102%,313px,17506px
acoustic blues,"rgb(92, 139, 35)",102%,1083px,18912px
new jersey hardcore,"rgb(217, 85, 35)",102%,307px,10512px
study beats,"rgb(97, 158, 196)",102%,1109px,10775px
chicago blues,"rgb(118, 128, 29)",102%,1006px,17190px
turkish edm,"rgb(190, 141, 90)",102%,1114px,1843px
spanish modern rock,"rgb(183, 126, 32)",102%,363px,5235px
christlicher rap,"rgb(171, 134, 9)",102%,983px,10526px
pianissimo,"rgb(19, 175, 230)",102%,754px,19469px
dream plugg,"rgb(126, 160, 12)",102%,856px,7687px
classic french pop,"rgb(147, 134, 8)",102%,771px,11300px
trap tuga,"rgb(145, 152, 9)",102%,1072px,11657px
south african house,"rgb(163, 148, 117)",102%,1247px,1432px
german trance,"rgb(204, 127, 139)",102%,839px,1636px
south african hip hop,"rgb(164, 136, 9)",102%,1042px,9525px
game mood,"rgb(162, 141, 24)",102%,954px,5838px
idol kayo,"rgb(160, 134, 15)",102%,737px,6847px
east coast reggae,"rgb(162, 141, 19)",102%,1002px,8023px
texas pop punk,"rgb(215, 101, 11)",102%,334px,4219px
country gospel,"rgb(90, 148, 16)",102%,896px,17088px
samba-enredo,"rgb(169, 123, 7)",102%,854px,12426px
jamaican hip hop,"rgb(180, 136, 4)",102%,1114px,10856px
hungarian rock,"rgb(196, 111, 30)",102%,491px,6045px
comedy,"rgb(158, 71, 5)",102%,1017px,18883px
belgian indie,"rgb(144, 139, 50)",102%,527px,8746px
neomelodici,"rgb(173, 134, 3)",102%,681px,7688px
musica aragonesa,"rgb(164, 128, 13)",102%,714px,11288px
persian hip hop,"rgb(167, 139, 7)",102%,975px,8035px
bgm,"rgb(49, 168, 208)",102%,958px,17046px
israeli hip hop,"rgb(172, 132, 19)",102%,1002px,6805px
malayalam pop,"rgb(133, 149, 7)",102%,802px,10709px
rochester mn indie,"rgb(148, 133, 68)",102%,483px,11114px
rap underground mexicano,"rgb(174, 126, 10)",102%,1107px,7219px
australian garage punk,"rgb(210, 99, 45)",102%,275px,8007px
swedish country,"rgb(158, 138, 5)",102%,589px,9157px
pop chileno,"rgb(145, 147, 5)",102%,789px,8738px
r&b italiano,"rgb(154, 142, 13)",102%,826px,8660px
west bengali pop,"rgb(123, 152, 4)",102%,690px,13014px
korean indie rock,"rgb(168, 132, 50)",102%,470px,7011px
bouncy house,"rgb(223, 110, 105)",102%,924px,1407px
welsh metal,"rgb(217, 91, 58)",102%,243px,7097px
chinese singer-songwriter,"rgb(126, 151, 23)",102%,567px,10120px
ethereal wave,"rgb(134, 140, 107)",102%,286px,10146px
khaliji,"rgb(167, 129, 3)",102%,739px,10390px
electro jazz,"rgb(156, 141, 121)",102%,967px,4601px
funk das antigas,"rgb(196, 116, 10)",102%,1161px,3702px
hip hop quebecois,"rgb(167, 134, 6)",102%,1035px,10107px
russian edm,"rgb(204, 132, 100)",102%,861px,1822px
volkspop,"rgb(167, 129, 18)",102%,920px,7614px
egyptian alternative,"rgb(142, 142, 29)",102%,701px,9698px
quran,"rgb(56, 170, 2)",102%,678px,20749px
balkan hip hop,"rgb(186, 123, 12)",102%,1070px,9064px
icelandic experimental,"rgb(93, 148, 118)",102%,330px,13567px
classic iskelma,"rgb(124, 142, 7)",102%,709px,13701px
german oi,"rgb(222, 89, 12)",102%,369px,7507px
samba moderno,"rgb(162, 132, 2)",102%,883px,12724px
chill guitar,"rgb(39, 180, 208)",102%,1154px,18654px
croatian pop,"rgb(155, 137, 4)",102%,589px,9772px
musica catalana,"rgb(160, 139, 11)",102%,800px,6958px
gothic rock,"rgb(180, 111, 74)",102%,371px,5599px
portland indie,"rgb(147, 137, 61)",102%,478px,11546px
pop nacional antigas,"rgb(135, 142, 8)",102%,695px,12586px
filthstep,"rgb(212, 124, 91)",102%,747px,3030px
dark rock,"rgb(196, 114, 47)",102%,298px,4018px
psychedelic pop,"rgb(145, 139, 77)",102%,502px,9440px
samba-rock,"rgb(167, 125, 13)",102%,906px,10954px
reggae tuga,"rgb(163, 143, 35)",102%,1059px,4907px
liedermacher,"rgb(114, 132, 8)",102%,934px,14536px
vintage french electronic,"rgb(125, 136, 118)",102%,582px,13319px
ecuadorian pop,"rgb(165, 139, 6)",102%,1002px,10207px
emoplugg,"rgb(155, 154, 18)",102%,637px,4965px
deathgrind,"rgb(233, 51, 131)",102%,140px,10525px
italian opera,"rgb(46, 151, 45)",102%,332px,21712px
deep latin christian,"rgb(119, 151, 13)",102%,701px,12389px
jazz trio,"rgb(76, 155, 151)",102%,952px,18969px
indonesian city pop,"rgb(141, 150, 15)",102%,597px,10806px
wrestling,"rgb(166, 125, 143)",102%,637px,4592px
scandinavian r&b,"rgb(142, 145, 14)",102%,906px,6945px
pop quebecois,"rgb(146, 143, 13)",102%,608px,9233px
uk experimental electronic,"rgb(146, 132, 172)",102%,631px,8635px
glitchbreak,"rgb(206, 110, 149)",102%,502px,4104px
swiss pop,"rgb(176, 134, 46)",102%,802px,4460px
classic indo pop,"rgb(135, 152, 17)",102%,548px,10059px
viking folk,"rgb(118, 144, 100)",102%,428px,11436px
pastoral,"rgb(80, 157, 161)",102%,393px,16731px
japanese viral pop,"rgb(175, 136, 43)",102%,829px,4525px
minimalism,"rgb(35, 167, 175)",102%,356px,20576px
indian classical,"rgb(121, 139, 67)",102%,692px,18539px
progressive psytrance,"rgb(209, 135, 195)",102%,1125px,976px
kansas city hip hop,"rgb(170, 132, 1)",102%,1038px,9724px
kabarett,"rgb(120, 103, 3)",102%,1218px,17190px
emo rap italiano,"rgb(164, 147, 3)",102%,805px,6884px
rap catala,"rgb(177, 136, 7)",102%,1066px,10442px
uk garage,"rgb(188, 124, 76)",102%,1143px,2423px
huzunlu sarkilar,"rgb(108, 154, 13)",102%,837px,11535px
entehno,"rgb(115, 150, 19)",102%,605px,14863px
australian indie rock,"rgb(175, 129, 41)",102%,428px,6911px
korean instrumental,"rgb(40, 178, 226)",102%,858px,20175px
pinoy indie,"rgb(132, 145, 30)",102%,647px,9898px
concepcion indie,"rgb(183, 125, 26)",102%,405px,8723px
australian r&b,"rgb(150, 139, 19)",102%,861px,6822px
pinoy alternative rap,"rgb(164, 136, 16)",102%,1114px,6722px
gaming dubstep,"rgb(221, 122, 72)",102%,796px,3788px
diy emo,"rgb(178, 119, 38)",102%,344px,8020px
dutch cabaret,"rgb(118, 118, 4)",102%,910px,16169px
australian indigenous,"rgb(143, 143, 12)",102%,674px,10453px
japanese old school hip hop,"rgb(190, 114, 37)",102%,1044px,4305px
melodic techno,"rgb(175, 154, 206)",102%,1267px,674px
polish underground rap,"rgb(153, 150, 14)",102%,1068px,6018px
swedish indie folk,"rgb(101, 159, 55)",101%,536px,14542px
easycore,"rgb(224, 93, 11)",101%,264px,3645px
acoustic rock,"rgb(139, 139, 65)",101%,628px,13491px
drain,"rgb(147, 148, 56)",101%,602px,7545px
rock independant francais,"rgb(167, 132, 40)",101%,553px,6687px
kurdish pop,"rgb(176, 123, 9)",101%,771px,9798px
japanese pop punk,"rgb(229, 85, 21)",101%,258px,5736px
malaysian mandopop,"rgb(131, 150, 4)",101%,589px,11239px
brazilian punk,"rgb(226, 78, 31)",101%,346px,9662px
atlanta indie,"rgb(172, 122, 61)",101%,409px,9550px
colombian rock,"rgb(184, 121, 28)",101%,698px,6365px
symphonic deathcore,"rgb(229, 76, 96)",101%,147px,5823px
peruvian rock,"rgb(185, 121, 32)",101%,534px,8255px
kavkaz,"rgb(194, 128, 9)",101%,906px,4305px
north east england indie,"rgb(169, 119, 37)",101%,478px,8500px
nottingham hip hop,"rgb(164, 134, 27)",101%,1070px,10701px
slovak hip hop,"rgb(174, 136, 9)",101%,1014px,8073px
neoclassicism,"rgb(33, 154, 159)",101%,373px,21446px
speed up turkce,"rgb(147, 139, 16)",101%,896px,8699px
modern jazz piano,"rgb(73, 154, 179)",101%,747px,18596px
ska chileno,"rgb(189, 123, 15)",101%,871px,5424px
city pop,"rgb(164, 136, 24)",101%,791px,6043px
texas latin rap,"rgb(166, 134, 5)",101%,1068px,4506px
punjabi lo-fi,"rgb(154, 138, 48)",101%,756px,8112px
pinoy singer-songwriter,"rgb(104, 154, 9)",101%,664px,13533px
new weird america,"rgb(111, 139, 86)",101%,489px,15567px
gospel antigas,"rgb(135, 148, 23)",101%,562px,11796px
classic sierreno,"rgb(151, 141, 2)",101%,1050px,13342px
bakersfield sound,"rgb(122, 136, 24)",101%,835px,14207px
german indie folk,"rgb(118, 150, 19)",101%,695px,11932px
gujarati garba,"rgb(173, 122, 7)",101%,742px,14371px
banjo,"rgb(112, 146, 49)",101%,888px,16042px
classic peruvian pop,"rgb(149, 141, 14)",101%,1038px,13888px
pinoy city pop,"rgb(132, 145, 37)",101%,791px,9029px
metallic hardcore,"rgb(229, 80, 65)",101%,271px,9215px
belo horizonte indie,"rgb(132, 145, 26)",101%,735px,10880px
latin viral rap,"rgb(194, 128, 10)",101%,1021px,10430px
piano worship,"rgb(44, 177, 218)",101%,759px,17805px
pinoy pop punk,"rgb(204, 107, 11)",101%,354px,6672px
folclore salteno,"rgb(117, 143, 14)",101%,977px,15841px
flamenco fusion,"rgb(184, 124, 10)",101%,964px,9376px
vietnamese trap,"rgb(156, 150, 18)",101%,1081px,6460px
brisbane indie,"rgb(177, 124, 35)",101%,371px,7380px
brega funk,"rgb(190, 137, 4)",101%,1277px,4391px
west coast reggae,"rgb(160, 139, 13)",101%,932px,7207px
zxc,"rgb(159, 147, 21)",101%,805px,4764px
nuevo folklore mexicano,"rgb(121, 149, 13)",101%,802px,13109px
volksmusik,"rgb(168, 134, 9)",101%,631px,8120px
classical drill,"rgb(41, 153, 182)",101%,365px,20739px
russian metal,"rgb(208, 105, 48)",101%,251px,6070px
plug brasileiro,"rgb(134, 157, 6)",101%,1063px,5734px
brit funk,"rgb(180, 120, 54)",101%,948px,4702px
reggae cristao,"rgb(158, 141, 9)",101%,875px,7282px
musica tamaulipeca,"rgb(160, 146, 6)",101%,971px,12564px
mizrahi,"rgb(167, 135, 4)",101%,613px,8267px
greek underground rap,"rgb(172, 131, 16)",101%,1006px,10169px
musica sinaloense,"rgb(163, 138, 0)",101%,1063px,13155px
hard bass,"rgb(230, 105, 94)",101%,1057px,1481px
victoria bc indie,"rgb(150, 135, 43)",101%,516px,10170px
venezuelan rock,"rgb(168, 127, 27)",101%,807px,8837px
progressive deathcore,"rgb(232, 72, 98)",101%,197px,5562px
neo classical metal,"rgb(203, 101, 54)",101%,228px,7184px
partido alto,"rgb(169, 123, 2)",101%,912px,12794px
new jersey punk,"rgb(215, 85, 32)",101%,300px,9948px
atmosphere,"rgb(50, 157, 200)",101%,36px,18654px
gregorian dance,"rgb(146, 144, 98)",101%,457px,6437px
kawaii future bass,"rgb(204, 124, 82)",101%,701px,2741px
darksynth,"rgb(196, 135, 173)",101%,453px,2497px
musica costena,"rgb(171, 139, 6)",101%,1114px,10207px
nightrun,"rgb(202, 121, 51)",101%,352px,2712px
indonesian post-hardcore,"rgb(208, 95, 39)",101%,298px,5477px
russian grime,"rgb(183, 135, 13)",101%,1004px,8636px
chinese indie,"rgb(132, 144, 26)",101%,541px,10573px
louisiana blues,"rgb(126, 127, 41)",101%,908px,15927px
birmingham grime,"rgb(180, 132, 23)",101%,1066px,10955px
carnaval cadiz,"rgb(175, 110, 8)",101%,842px,12116px
finnish trap,"rgb(155, 150, 8)",101%,1074px,4055px
chilean indie,"rgb(154, 138, 49)",101%,651px,8280px
musica angolana,"rgb(178, 138, 13)",101%,1000px,7170px
american folk revival,"rgb(71, 150, 19)",101%,867px,19055px
french jazz,"rgb(88, 144, 147)",101%,973px,18407px
classic norwegian pop,"rgb(115, 148, 9)",101%,681px,13545px
samba paulista,"rgb(150, 134, 5)",101%,871px,12663px
xtra raw,"rgb(237, 89, 19)",101%,509px,2999px
nova musica pernambucana,"rgb(149, 139, 34)",101%,793px,10070px
marathi pop,"rgb(159, 130, 5)",101%,879px,10552px
guaracha,"rgb(181, 136, 138)",101%,1313px,1248px
fado,"rgb(88, 158, 19)",101%,727px,17604px
vietnamese singer-songwriter,"rgb(119, 154, 14)",101%,695px,12290px
battle rap,"rgb(182, 117, 4)",101%,995px,10775px
romanian rap,"rgb(167, 134, 23)",101%,1081px,9213px
rap underground argentino,"rgb(158, 135, 14)",101%,1074px,12275px
cowboy western,"rgb(91, 143, 15)",101%,861px,16932px
doom metal,"rgb(180, 114, 96)",101%,154px,10830px
psicodelia brasileira,"rgb(153, 128, 54)",101%,719px,12725px
emo mexicano,"rgb(199, 112, 31)",101%,342px,6020px
rock baiano,"rgb(167, 121, 15)",101%,756px,10527px
swedish melodic rock,"rgb(203, 108, 14)",101%,313px,4682px
classic turkish pop,"rgb(127, 139, 14)",101%,579px,15150px
chalga,"rgb(193, 132, 16)",101%,944px,3657px
tagalog worship,"rgb(90, 157, 38)",101%,416px,14751px
assamese pop,"rgb(156, 140, 8)",101%,752px,11944px
old school bassline,"rgb(200, 124, 88)",101%,1165px,2217px
swancore,"rgb(221, 94, 47)",101%,273px,6045px
anime cv,"rgb(189, 119, 62)",101%,470px,4793px
colombian indie,"rgb(152, 143, 48)",101%,789px,6908px
dark plugg,"rgb(136, 161, 11)",101%,922px,7601px
rap nacional antigo,"rgb(162, 130, 22)",101%,1145px,6634px
pink noise,"rgb(174, 127, 22)",101%,791px,3214px
alternative roots rock,"rgb(166, 125, 26)",101%,442px,11201px
oktoberfest,"rgb(209, 105, 16)",101%,766px,4247px
russian punk rock,"rgb(203, 101, 20)",101%,522px,5576px
synthesizer,"rgb(110, 148, 156)",101%,389px,11510px
norwegian rock,"rgb(181, 113, 33)",101%,367px,9501px
laboratorio,"rgb(74, 144, 134)",101%,434px,17965px
dutch metal,"rgb(203, 98, 58)",101%,190px,8377px
peruvian hip hop,"rgb(174, 134, 4)",101%,1125px,10219px
punk rock mexicano,"rgb(202, 106, 20)",101%,393px,7653px
alabama indie,"rgb(161, 125, 49)",101%,459px,11583px
japanese new wave,"rgb(182, 117, 42)",101%,582px,5716px
sacramento hip hop,"rgb(168, 129, 3)",101%,1118px,8813px
dark wave,"rgb(177, 120, 90)",101%,436px,4461px
lagu timur,"rgb(142, 152, 9)",101%,871px,7442px
mambo,"rgb(139, 128, 69)",101%,1008px,16099px
no beat,"rgb(181, 141, 25)",101%,1379px,4075px
classic colombian pop,"rgb(134, 149, 13)",101%,1116px,13564px
flint hip hop,"rgb(162, 142, 4)",101%,1059px,7589px
ukrainian indie,"rgb(142, 143, 56)",101%,698px,8012px
swedish americana,"rgb(117, 150, 27)",101%,480px,13949px
rap baixada fluminense,"rgb(144, 141, 21)",101%,1002px,11918px
trap pesado,"rgb(137, 154, 7)",101%,1168px,4747px
uk tech house,"rgb(209, 128, 186)",101%,1401px,143px
brega romantico,"rgb(181, 141, 1)",101%,881px,7430px
crossover thrash,"rgb(232, 61, 58)",101%,239px,10756px
barnemusikk,"rgb(99, 150, 23)",101%,924px,13631px
country blues,"rgb(76, 146, 38)",101%,1094px,19830px
french opera,"rgb(44, 153, 91)",101%,361px,21112px
finnish heavy metal,"rgb(216, 99, 42)",101%,232px,4633px
big band,"rgb(90, 127, 109)",101%,942px,19256px
electroclash,"rgb(188, 130, 92)",101%,950px,1947px
reggae cover,"rgb(150, 146, 44)",101%,1004px,4550px
trance brasileiro,"rgb(205, 130, 159)",101%,1154px,1493px
western swing,"rgb(91, 145, 16)",101%,920px,16944px
glitch,"rgb(127, 130, 157)",101%,651px,10319px
lithuanian pop,"rgb(163, 136, 16)",101%,837px,5330px
kawaii metal,"rgb(229, 87, 35)",101%,212px,3989px
shaabi,"rgb(176, 123, 5)",101%,848px,7898px
world devotional,"rgb(77, 166, 70)",101%,453px,15210px
italian pop rock,"rgb(167, 136, 11)",101%,589px,6463px
korean old school hip hop,"rgb(184, 118, 37)",101%,1077px,5418px
asbury park indie,"rgb(160, 125, 32)",101%,513px,10046px
pub rock,"rgb(181, 109, 29)",101%,562px,9586px
electrofox,"rgb(182, 134, 98)",101%,879px,2180px
balochi pop,"rgb(181, 123, 21)",101%,896px,10942px
shanty,"rgb(102, 140, 14)",101%,869px,16153px
argentine punk,"rgb(214, 96, 23)",101%,344px,8267px
orgcore,"rgb(223, 84, 25)",101%,286px,8229px
samba reggae,"rgb(189, 116, 6)",101%,912px,7824px
japanese metalcore,"rgb(232, 78, 39)",101%,206px,4706px
ambient guitar,"rgb(74, 158, 205)",101%,177px,15538px
virginia metal,"rgb(225, 72, 92)",101%,210px,9267px
indonesian idol pop,"rgb(190, 122, 8)",101%,562px,2755px
australian singer-songwriter,"rgb(112, 152, 27)",101%,557px,13875px
narodna muzika,"rgb(166, 128, 7)",101%,582px,11466px
oklahoma country,"rgb(160, 134, 3)",101%,472px,8820px
moldovan pop,"rgb(199, 129, 31)",101%,747px,3759px
classic belgian pop,"rgb(157, 135, 8)",101%,722px,8561px
french metal,"rgb(213, 89, 87)",101%,214px,7245px
gregorian chant,"rgb(42, 162, 90)",101%,379px,20314px
abstract beats,"rgb(150, 130, 126)",101%,924px,7774px
glam punk,"rgb(215, 83, 25)",101%,275px,8254px
musica neoleonesa,"rgb(147, 143, 3)",101%,1105px,11820px
minneapolis indie,"rgb(118, 145, 77)",101%,465px,12575px
chinese hip hop,"rgb(171, 136, 13)",101%,1010px,6854px
progressive post-hardcore,"rgb(199, 110, 34)",101%,282px,6462px
deutschrock,"rgb(223, 94, 11)",101%,350px,5587px
musica andina,"rgb(119, 148, 55)",101%,926px,15027px
roots americana,"rgb(143, 141, 9)",101%,605px,10843px
groove gospel,"rgb(145, 141, 33)",101%,560px,9624px
turkish soundtrack,"rgb(93, 157, 168)",101%,438px,13236px
speed up brasileiro,"rgb(145, 151, 2)",101%,1136px,6659px
brazilian bass,"rgb(189, 128, 121)",101%,1263px,1235px
nottingham indie,"rgb(151, 134, 57)",101%,457px,10785px
vbs,"rgb(113, 152, 35)",101%,818px,9512px
blackened deathcore,"rgb(225, 69, 116)",101%,131px,6709px
pop minang,"rgb(180, 146, 9)",101%,538px,5100px
classic j-rock,"rgb(183, 114, 27)",101%,532px,6948px
melodic hardcore,"rgb(230, 78, 21)",101%,251px,8707px
slamming deathcore,"rgb(234, 69, 117)",101%,172px,6425px
steampunk,"rgb(156, 125, 46)",101%,600px,8623px
ukg revival,"rgb(198, 123, 118)",101%,1272px,2124px
experimental ambient,"rgb(83, 152, 192)",101%,298px,15394px
argentine heavy metal,"rgb(212, 98, 32)",101%,290px,8390px
indie liguria,"rgb(178, 132, 103)",101%,811px,4735px
sinhala pop,"rgb(138, 150, 8)",101%,818px,10564px
progressive jazz fusion,"rgb(126, 141, 153)",101%,671px,12377px
swedish garage rock,"rgb(213, 92, 30)",101%,279px,8537px
irish country,"rgb(113, 150, 7)",101%,538px,13887px
cantautora argentina,"rgb(111, 154, 13)",101%,826px,13558px
braindance,"rgb(172, 135, 189)",101%,960px,3444px
ebm,"rgb(203, 113, 99)",101%,674px,1779px
swedish reggae,"rgb(168, 139, 15)",101%,1088px,6584px
uzbek pop,"rgb(189, 130, 3)",101%,883px,5658px
lds youth,"rgb(115, 154, 18)",101%,569px,12389px
norwegian country,"rgb(161, 136, 6)",101%,640px,8845px
murcia indie,"rgb(173, 132, 32)",101%,496px,6635px
russian rave,"rgb(208, 120, 38)",101%,912px,2726px
tolkien metal,"rgb(207, 86, 102)",101%,141px,7933px
wyoming roots,"rgb(134, 145, 8)",101%,634px,11113px
hip-hop experimental,"rgb(159, 131, 90)",101%,971px,5672px
dark post-punk,"rgb(193, 125, 136)",101%,403px,2439px
indie catala,"rgb(137, 142, 44)",101%,622px,10904px
italian tenor,"rgb(69, 157, 30)",101%,336px,21149px
ghanaian alternative,"rgb(159, 143, 21)",101%,1066px,10588px
ecm-style jazz,"rgb(63, 153, 157)",101%,597px,18625px
san marcos tx indie,"rgb(161, 126, 32)",101%,541px,10158px
portuguese rock,"rgb(147, 136, 44)",101%,600px,10488px
modern melodic hardcore,"rgb(230, 80, 30)",101%,227px,7764px
lithuanian edm,"rgb(186, 143, 78)",101%,1079px,2168px
zouk,"rgb(187, 142, 20)",101%,1004px,2784px
cello,"rgb(103, 150, 128)",101%,357px,13746px
classical tenor,"rgb(75, 150, 16)",101%,266px,21357px
musica poblana,"rgb(158, 150, 15)",101%,1145px,4018px
chill beats,"rgb(133, 162, 185)",101%,981px,4087px
indie rockism,"rgb(184, 128, 8)",101%,472px,4519px
acoustic punk,"rgb(143, 134, 7)",101%,722px,12352px
nashville indie,"rgb(157, 132, 35)",101%,459px,9711px
classic polish pop,"rgb(113, 141, 7)",101%,739px,15064px
dong-yo,"rgb(140, 148, 25)",101%,1036px,10333px
tex-mex,"rgb(169, 144, 7)",101%,1023px,9212px
lagu melayu,"rgb(160, 154, 9)",101%,489px,6229px
latintronica,"rgb(154, 145, 103)",101%,1038px,4342px
ukrainian hip hop,"rgb(166, 135, 9)",101%,1061px,8985px
rap anime,"rgb(191, 128, 2)",101%,1000px,9662px
dansktop,"rgb(135, 138, 10)",101%,771px,11981px
austin americana,"rgb(132, 143, 12)",101%,671px,11969px
arab alternative,"rgb(132, 148, 43)",101%,739px,10145px
musica potosina,"rgb(180, 136, 8)",101%,1083px,12453px
j-ambient,"rgb(85, 151, 177)",101%,432px,15698px
acoustic chill,"rgb(72, 167, 16)",101%,793px,15956px
brega,"rgb(155, 141, 5)",101%,818px,9625px
polish indie,"rgb(148, 141, 53)",101%,622px,7307px
lithuanian electronic,"rgb(163, 145, 174)",101%,1127px,2032px
dominican pop,"rgb(165, 139, 5)",101%,973px,8775px
flute rock,"rgb(136, 132, 71)",101%,422px,12736px
russian folk rock,"rgb(150, 135, 16)",101%,582px,10769px
relaxative,"rgb(45, 171, 203)",101%,791px,16157px
italian techno,"rgb(192, 140, 212)",101%,1263px,455px
cumbia lagunera,"rgb(180, 139, 9)",101%,1129px,7750px
brazilian emo,"rgb(195, 112, 33)",101%,367px,7860px
popping,"rgb(167, 122, 51)",101%,1145px,4030px
deep talent show,"rgb(148, 144, 8)",101%,545px,9389px
thai folk rock,"rgb(156, 140, 6)",101%,687px,7245px
mantra,"rgb(120, 145, 12)",101%,846px,14487px
japanese post-hardcore,"rgb(216, 90, 54)",101%,210px,6911px
swedish jazz,"rgb(80, 154, 95)",101%,724px,17485px
albuquerque indie,"rgb(147, 133, 46)",101%,619px,9366px
cancion infantil mexicana,"rgb(151, 132, 8)",101%,1014px,12152px
ambient house,"rgb(146, 141, 182)",101%,805px,5194px
grime brasileiro,"rgb(159, 139, 22)",101%,1066px,9912px
islamic recitation,"rgb(59, 167, 2)",101%,809px,20949px
shred,"rgb(190, 107, 145)",101%,326px,7134px
semarang indie,"rgb(176, 130, 20)",101%,511px,6033px
psychobilly,"rgb(219, 83, 36)",101%,430px,8944px
singaporean singer-songwriter,"rgb(115, 154, 11)",101%,582px,13102px
