genre,font_size,color,colors_rgb,top,left
vocal harmony group,101%,#478f0e,"rgb(71, 143, 14)",19154px,904px
uk post-hardcore,101%,#d3641a,"rgb(211, 100, 26)",6622px,243px
mande pop,101%,#9d8c22,"rgb(157, 140, 34)",12226px,952px
hardvapour,101%,#808bac,"rgb(128, 139, 172)",10440px,695px
praise,101%,#9e7706,"rgb(158, 119, 6)",11982px,584px
french death metal,101%,#e04c74,"rgb(224, 76, 116)",8341px,166px
malian blues,101%,#8d9135,"rgb(141, 145, 53)",12737px,902px
workout product,101%,#b49086,"rgb(180, 144, 134)",869px,1223px
pirate,101%,#ce5d18,"rgb(206, 93, 24)",7946px,407px
scottish indie rock,101%,#bb791a,"rgb(187, 121, 26)",5277px,373px
bongo flava,101%,#b48b0b,"rgb(180, 139, 11)",9089px,1079px
indian rock,101%,#a28339,"rgb(162, 131, 57)",7160px,664px
russian indie,101%,#ac842a,"rgb(172, 132, 42)",6057px,587px
punk 'n' roll,101%,#e74c1b,"rgb(231, 76, 27)",8020px,223px
denpa-kei,101%,#dc6b37,"rgb(220, 107, 55)",2726px,525px
magyar alternative,101%,#ba752a,"rgb(186, 117, 42)",6775px,505px
boston metal,101%,#d75058,"rgb(215, 80, 88)",9080px,168px
new italo disco,101%,#cb8540,"rgb(203, 133, 64)",918px,906px
jazz quartet,101%,#4b9a56,"rgb(75, 154, 86)",18391px,888px
metal cover,101%,#db6322,"rgb(219, 99, 34)",3300px,334px
birmingham hip hop,101%,#a78413,"rgb(167, 132, 19)",12226px,1051px
musica alagoana,101%,#869115,"rgb(134, 145, 21)",10806px,881px
shatta,101%,#9e960c,"rgb(158, 150, 12)",7069px,1150px
deep tech house,101%,#c68ac8,"rgb(198, 138, 200)",115px,1389px
jazz house,101%,#ad88af,"rgb(173, 136, 175)",1444px,1267px
swiss hip hop,101%,#ac840e,"rgb(172, 132, 14)",7873px,1029px
deep minimal techno,101%,#c48bcf,"rgb(196, 139, 207)",242px,1377px
japanese piano,101%,#2fa3c3,"rgb(47, 163, 195)",19228px,513px
zouk riddim,101%,#b99007,"rgb(185, 144, 7)",5291px,979px
musica per bambini,101%,#8f8d28,"rgb(143, 141, 40)",9949px,977px
gypsy jazz,101%,#598fa2,"rgb(89, 143, 162)",18625px,1120px
southern gospel,101%,#788e0d,"rgb(120, 142, 13)",13615px,532px
rap montrealais,101%,#979404,"rgb(151, 148, 4)",8997px,1066px
anime piano,101%,#37a9d0,"rgb(55, 169, 208)",16444px,671px
west end,101%,#529318,"rgb(82, 147, 24)",17161px,483px
euskal rock,101%,#ab7d14,"rgb(171, 125, 20)",8758px,532px
super eurobeat,101%,#c87a39,"rgb(200, 122, 57)",2396px,793px
croatian rock,101%,#b4780d,"rgb(180, 120, 13)",7394px,610px
deep new americana,101%,#878e11,"rgb(135, 142, 17)",12153px,579px
louvor,101%,#599d24,"rgb(89, 157, 36)",14433px,577px
pakistani indie,101%,#8b8f34,"rgb(139, 143, 52)",9476px,610px
russian viral rap,101%,#ac9309,"rgb(172, 147, 9)",3940px,1127px
russian modern classical,101%,#2796a2,"rgb(39, 150, 162)",21137px,387px
venezuelan indie,101%,#a48734,"rgb(164, 135, 52)",5551px,798px
baltimore hip hop,101%,#9d9202,"rgb(157, 146, 2)",5873px,1099px
acid house,101%,#bd7f94,"rgb(189, 127, 148)",1519px,1110px
new comedy,101%,#984f02,"rgb(152, 79, 2)",19141px,1079px
balkan beats,101%,#b3824a,"rgb(179, 130, 74)",4030px,1016px
rock quebecois,101%,#b0781b,"rgb(176, 120, 27)",9574px,485px
manchester indie,101%,#b27d1d,"rgb(178, 125, 29)",6623px,383px
pinoy indie rock,101%,#9c8046,"rgb(156, 128, 70)",8145px,444px
san diego indie,101%,#ad7b32,"rgb(173, 123, 50)",7458px,407px
messianic praise,101%,#789210,"rgb(120, 146, 16)",12414px,413px
reggae gaucho,101%,#9e8d0e,"rgb(158, 141, 14)",6360px,989px
salsa choke,101%,#c58402,"rgb(197, 132, 2)",3456px,1220px
african rock,101%,#ad7e18,"rgb(173, 126, 24)",6267px,567px
rap francais nouvelle vague,101%,#83981a,"rgb(131, 152, 26)",9575px,1004px
british children's music,101%,#7c8b10,"rgb(124, 139, 16)",12019px,1066px
montreal indie,101%,#8b8c4e,"rgb(139, 140, 78)",9873px,643px
abstract,101%,#7988b4,"rgb(121, 136, 180)",10182px,613px
dutch r&b,101%,#88940f,"rgb(136, 148, 15)",8327px,944px
epa dunk,101%,#c5800c,"rgb(197, 128, 12)",2562px,926px
turkish modern jazz,101%,#70935a,"rgb(112, 147, 90)",14603px,717px
japanese dance pop,101%,#c1822b,"rgb(193, 130, 43)",3235px,796px
acoustic guitar cover,101%,#64abc8,"rgb(100, 171, 200)",14653px,995px
alberta country,101%,#a98901,"rgb(169, 137, 1)",6180px,553px
tango,101%,#4f9551,"rgb(79, 149, 81)",20088px,918px
british jazz,101%,#609080,"rgb(96, 144, 128)",16616px,789px
estonian hip hop,101%,#a7891a,"rgb(167, 137, 26)",6196px,969px
folklore ecuatoriano,101%,#6d9a1e,"rgb(109, 154, 30)",15296px,1130px
mundart,101%,#a1830b,"rgb(161, 131, 11)",8498px,865px
j-punk,101%,#df532a,"rgb(223, 83, 42)",7048px,324px
bosnian pop,101%,#bc7a02,"rgb(188, 122, 2)",8366px,651px
native american contemporary,101%,#84881d,"rgb(132, 136, 29)",11647px,732px
deathgrass,101%,#b76d1c,"rgb(183, 109, 28)",12339px,545px
rap uruguayo,101%,#a78913,"rgb(167, 137, 19)",7492px,1074px
oc indie,101%,#a97b2e,"rgb(169, 123, 46)",8378px,543px
world fusion,101%,#938f79,"rgb(147, 143, 121)",6480px,771px
ragga jungle,101%,#d48050,"rgb(212, 128, 80)",2078px,1101px
cante flamenco,101%,#5d941d,"rgb(93, 148, 29)",19314px,854px
old school dancehall,101%,#938f0c,"rgb(147, 143, 12)",6323px,1214px
malang indie,101%,#a8821d,"rgb(168, 130, 29)",6762px,500px
finnish death metal,101%,#e15766,"rgb(225, 87, 102)",5872px,129px
chill out,101%,#75a3d1,"rgb(117, 163, 209)",7948px,944px
funky house,101%,#cd7986,"rgb(205, 121, 134)",689px,1287px
french psychedelic,101%,#a38b61,"rgb(163, 139, 97)",6811px,485px
traditional country,101%,#539412,"rgb(83, 148, 18)",17534px,896px
us power metal,101%,#d35726,"rgb(211, 87, 38)",8781px,262px
space age pop,101%,#668b7f,"rgb(102, 139, 127)",16944px,739px
futurepop,101%,#d1745c,"rgb(209, 116, 92)",1435px,640px
pop teen brasileiro,101%,#9f8703,"rgb(159, 135, 3)",6596px,946px
neo-traditional bluegrass,101%,#879517,"rgb(135, 149, 23)",13272px,701px
deathstep,101%,#db7557,"rgb(219, 117, 87)",4161px,608px
norwegian singer-songwriter,101%,#639b1a,"rgb(99, 155, 26)",14296px,534px
south carolina indie,101%,#98861a,"rgb(152, 134, 26)",10954px,494px
sevillanas,101%,#a2820b,"rgb(162, 130, 11)",12549px,798px
azeri rap,101%,#968d0a,"rgb(150, 141, 10)",8164px,1027px
psychill,101%,#9c96c5,"rgb(156, 150, 197)",3731px,714px
shibuya-kei,101%,#ac8046,"rgb(172, 128, 70)",5342px,784px
canadian old school hip hop,101%,#b4760e,"rgb(180, 118, 14)",9138px,1051px
experimental classical,101%,#2da1bb,"rgb(45, 161, 187)",19182px,219px
nueva ola chilena,101%,#72910c,"rgb(114, 145, 12)",15554px,597px
fogo pentecostal,101%,#a08e12,"rgb(160, 142, 18)",8882px,714px
carnatic vocal,101%,#7d8817,"rgb(125, 136, 23)",19342px,724px
classic dubstep,101%,#b18b8f,"rgb(177, 139, 143)",2652px,989px
russian hyperpop,101%,#af920c,"rgb(175, 146, 12)",3932px,822px
scottish electronic,101%,#9f8ba3,"rgb(159, 139, 163)",4625px,839px
nz hip hop,101%,#ab8413,"rgb(171, 132, 19)",5328px,1053px
kleinkunst,101%,#7b930f,"rgb(123, 147, 15)",11610px,777px
timba,101%,#be8107,"rgb(190, 129, 7)",11992px,1038px
musica gaucha,101%,#d57702,"rgb(213, 119, 2)",6385px,977px
theme,101%,#678c84,"rgb(103, 140, 132)",13948px,416px
chanson paillarde,101%,#8e8004,"rgb(142, 128, 4)",13479px,1017px
south african trap,101%,#949506,"rgb(148, 149, 6)",9835px,1035px
banda carnavalera,101%,#998a10,"rgb(153, 138, 16)",12201px,967px
norwegian black metal,101%,#d73c85,"rgb(215, 60, 133)",10378px,55px
italian tech house,101%,#d47ebc,"rgb(212, 126, 188)",100px,1416px
afro house,101%,#b1929c,"rgb(177, 146, 156)",1100px,1261px
classic czech pop,101%,#828b09,"rgb(130, 139, 9)",14195px,634px
thai folk pop,101%,#8e9603,"rgb(142, 150, 3)",9773px,687px
dangdut remix,101%,#be9413,"rgb(190, 148, 19)",3476px,971px
atlanta bass,101%,#a6860f,"rgb(166, 134, 15)",2751px,1179px
rap regio,101%,#919816,"rgb(145, 152, 22)",5845px,1038px
rap romantico,101%,#929103,"rgb(146, 145, 3)",11684px,1042px
uk contemporary jazz,101%,#868d96,"rgb(134, 141, 150)",11809px,761px
dark cabaret,101%,#8e8324,"rgb(142, 131, 36)",12514px,555px
deconstructed club,101%,#9e8288,"rgb(158, 130, 136)",8329px,600px
grindcore,101%,#e72a8e,"rgb(231, 42, 142)",11186px,113px
hyperpop francais,101%,#8c981c,"rgb(140, 152, 28)",6209px,833px
classic punjabi pop,101%,#ba7609,"rgb(186, 118, 9)",12822px,991px
canadian metalcore,101%,#eb483c,"rgb(235, 72, 60)",5080px,184px
neurofunk,101%,#e278a1,"rgb(226, 120, 161)",1720px,940px
fantasy,101%,#578d88,"rgb(87, 141, 136)",14206px,340px
japanese screamo,101%,#d55648,"rgb(213, 86, 72)",8994px,170px
ukrainian classical,101%,#1da0c3,"rgb(29, 160, 195)",22097px,311px
k-rock,101%,#b77819,"rgb(183, 120, 25)",6799px,424px
baglama,101%,#6f9822,"rgb(111, 152, 34)",16386px,717px
forro tradicional,101%,#b37f0f,"rgb(179, 127, 15)",10465px,922px
taiwan punk,101%,#d06a14,"rgb(208, 106, 20)",4333px,319px
vgm remix,101%,#c08da2,"rgb(192, 141, 162)",1751px,906px
furry,101%,#96885d,"rgb(150, 136, 93)",6998px,640px
alaska indie,101%,#878c25,"rgb(135, 140, 37)",11944px,589px
vlaamse kinderliedje,101%,#99840b,"rgb(153, 132, 11)",10639px,1010px
german punk rock,101%,#d0660e,"rgb(208, 102, 14)",5674px,413px
irish hip hop,101%,#9e8b17,"rgb(158, 139, 23)",9175px,1019px
fluxwork,101%,#8e9193,"rgb(142, 145, 147)",7823px,722px
futuristic swag,101%,#a48b02,"rgb(164, 139, 2)",4042px,1059px
russian chanson,101%,#bc7d03,"rgb(188, 125, 3)",3973px,914px
military rap,101%,#ad8504,"rgb(173, 133, 4)",6247px,1012px
brega saudade,101%,#a68d08,"rgb(166, 141, 8)",7294px,844px
no wave,101%,#a56b5d,"rgb(165, 107, 93)",10611px,562px
dark disco,101%,#af91b6,"rgb(175, 145, 182)",799px,1242px
nantes indie,101%,#968c35,"rgb(150, 140, 53)",7935px,701px
estonian pop,101%,#a08925,"rgb(160, 137, 37)",6809px,704px
fremantle indie,101%,#a1851f,"rgb(161, 133, 31)",7520px,608px
dutch drill,101%,#92900a,"rgb(146, 144, 10)",6966px,1156px
memphis blues,101%,#6c821d,"rgb(108, 130, 29)",17850px,1023px
classic bhangra,101%,#c07412,"rgb(192, 116, 18)",8302px,985px
mod revival,101%,#be6c1e,"rgb(190, 108, 30)",9194px,483px
german jazz rap,101%,#99822b,"rgb(153, 130, 43)",11486px,1098px
ontario indie,101%,#9c8528,"rgb(156, 133, 40)",10512px,483px
czech punk,101%,#d8620b,"rgb(216, 98, 11)",7196px,444px
khaleeji iraqi,101%,#a2820b,"rgb(162, 130, 11)",11398px,752px
speed plug brasileiro,101%,#859d08,"rgb(133, 157, 8)",8424px,1023px
canadian celtic,101%,#938a18,"rgb(147, 138, 24)",13306px,529px
swiss indie,101%,#928d27,"rgb(146, 141, 39)",7948px,678px
sinhala indie,101%,#87980f,"rgb(135, 152, 15)",10157px,784px
mexican edm,101%,#c48669,"rgb(196, 134, 105)",2008px,1066px
danish alternative rock,101%,#b07c31,"rgb(176, 124, 49)",8488px,356px
swiss rock,101%,#a1821e,"rgb(161, 130, 30)",7823px,550px
canadian post-hardcore,101%,#dc5826,"rgb(220, 88, 38)",7442px,197px
cocuk sarkilari,101%,#499d6a,"rgb(73, 157, 106)",15640px,610px
spanish synthpop,101%,#c17f26,"rgb(193, 127, 38)",2168px,848px
straight edge,101%,#e64927,"rgb(230, 73, 39)",10781px,275px
concurso de talentos argentino,101%,#8e9202,"rgb(142, 146, 2)",10672px,727px
folklore surero,101%,#509d2b,"rgb(80, 157, 43)",19814px,1087px
balearic,101%,#ac8d9a,"rgb(172, 141, 154)",1947px,1048px
puirt-a-beul,101%,#359f5b,"rgb(53, 159, 91)",19457px,455px
thai indie,101%,#a78519,"rgb(167, 133, 25)",6068px,724px
ambeat,101%,#918b6b,"rgb(145, 139, 107)",5709px,1016px
miami bass,101%,#9f8447,"rgb(159, 132, 71)",1746px,1223px
jazz rock,101%,#967243,"rgb(150, 114, 67)",14195px,538px
adventista,101%,#689f18,"rgb(104, 159, 24)",13479px,451px
australian americana,101%,#7b9608,"rgb(123, 150, 8)",12884px,656px
fingerstyle,101%,#50a6b3,"rgb(80, 166, 179)",17707px,971px
psychedelic folk,101%,#6a9325,"rgb(106, 147, 37)",14800px,647px
shabad,101%,#8d890e,"rgb(141, 137, 14)",15899px,852px
comedie musicale,101%,#938f10,"rgb(147, 143, 16)",8145px,643px
russian witch house,101%,#ba8d93,"rgb(186, 141, 147)",3645px,453px
indonesian ska,101%,#b8841f,"rgb(184, 132, 31)",4977px,863px
free jazz,101%,#5a8b52,"rgb(90, 139, 82)",18022px,717px
cumbia ecuatoriana,101%,#989116,"rgb(152, 145, 22)",11783px,1063px
vintage tollywood,101%,#81852c,"rgb(129, 133, 44)",18666px,766px
sovietwave,101%,#a98d9b,"rgb(169, 141, 155)",4219px,602px
syrian pop,101%,#948510,"rgb(148, 133, 16)",13260px,634px
arab trap,101%,#b6915d,"rgb(182, 145, 93)",3358px,752px
leipzig electronic,101%,#a397be,"rgb(163, 151, 190)",1309px,1254px
classic tollywood,101%,#a98208,"rgb(169, 130, 8)",8524px,944px
virgin islands reggae,101%,#a08c0a,"rgb(160, 140, 10)",8312px,1121px
orchestra,101%,#38989e,"rgb(56, 152, 158)",19498px,228px
tempe indie,101%,#b77916,"rgb(183, 121, 22)",6836px,399px
jacksonville indie,101%,#818d27,"rgb(129, 141, 39)",11647px,476px
nova musica carioca,101%,#839121,"rgb(131, 145, 33)",11473px,837px
memphis phonk,101%,#c08893,"rgb(192, 136, 147)",3042px,1025px
nepali indie,101%,#8b8f18,"rgb(139, 143, 24)",9450px,717px
musica cristiana guatemalteca,101%,#959312,"rgb(149, 147, 18)",11672px,890px
german worship,101%,#81910c,"rgb(129, 145, 12)",11040px,579px
christian afrobeat,101%,#aa8a06,"rgb(170, 138, 6)",7589px,924px
cumbia amazonica,101%,#b88f23,"rgb(184, 143, 35)",10868px,979px
vintage jazz,101%,#56847b,"rgb(86, 132, 123)",19801px,1033px
polish old school hip hop,101%,#af7a11,"rgb(175, 122, 17)",5771px,1109px
japanese indie rock,101%,#c27420,"rgb(194, 116, 32)",5264px,375px
huayno,101%,#9c8e10,"rgb(156, 142, 16)",14294px,950px
instrumental math rock,101%,#b677ac,"rgb(182, 119, 172)",9513px,518px
trap cristao,101%,#9c8f04,"rgb(156, 143, 4)",8188px,1025px
norske viser,101%,#5f9a0f,"rgb(95, 154, 15)",14903px,744px
jump up,101%,#e47575,"rgb(228, 117, 117)",1593px,1014px
mashup,101%,#c87a44,"rgb(200, 122, 68)",2792px,818px
african reggae,101%,#a58907,"rgb(165, 137, 7)",6283px,1116px
8d,101%,#6b56a9,"rgb(107, 86, 169)",14349px,266px
christelijk,101%,#609842,"rgb(96, 152, 66)",13752px,420px
japanese drill,101%,#a99211,"rgb(169, 146, 17)",5042px,1051px
flamenco guitar,101%,#729192,"rgb(114, 145, 146)",17879px,934px
dakke dak,101%,#c97e27,"rgb(201, 126, 39)",2439px,1021px
folclore santiagueno,101%,#858d07,"rgb(133, 141, 7)",14329px,962px
japanese folk,101%,#689611,"rgb(104, 150, 17)",14529px,572px
swedish progressive metal,101%,#bf7034,"rgb(191, 112, 52)",7417px,239px
north carolina indie,101%,#8c8727,"rgb(140, 135, 39)",12600px,463px
kingston on indie,101%,#a67d28,"rgb(166, 125, 40)",9972px,502px
raw techno,101%,#ce82cd,"rgb(206, 130, 205)",402px,1209px
kannada hip hop,101%,#a68b05,"rgb(166, 139, 5)",8314px,1002px
american contemporary classical,101%,#1ea1a1,"rgb(30, 161, 161)",20897px,385px
musica canaria,101%,#8d8d0c,"rgb(141, 141, 12)",13877px,791px
huapango,101%,#af8924,"rgb(175, 137, 36)",10800px,1112px
jamtronica,101%,#b88272,"rgb(184, 130, 114)",6711px,660px
tanzanian pop,101%,#b08e05,"rgb(176, 142, 5)",11139px,1057px
melodic groove metal,101%,#ee4826,"rgb(238, 72, 38)",4670px,183px
ostrock,101%,#9a800c,"rgb(154, 128, 12)",9562px,712px
musica llanera,101%,#a19114,"rgb(161, 145, 20)",15698px,995px
anime latino,101%,#c3791d,"rgb(195, 121, 29)",4448px,550px
kundalini,101%,#509484,"rgb(80, 148, 132)",15554px,326px
kwaito,101%,#ac8825,"rgb(172, 136, 37)",4067px,1076px
elektropunk,101%,#b57b28,"rgb(181, 123, 40)",3702px,898px
experimental vocal,101%,#5e8b30,"rgb(94, 139, 48)",14900px,491px
musica popular mineira,101%,#6f9722,"rgb(111, 151, 34)",14690px,584px
copla,101%,#5a960e,"rgb(90, 150, 14)",19572px,784px
paisley underground,101%,#aa781f,"rgb(170, 120, 31)",10439px,422px
dream trance,101%,#c982a6,"rgb(201, 130, 166)",1125px,1053px
christian uplift,101%,#878f1c,"rgb(135, 143, 28)",10475px,381px
tallava,101%,#b67d04,"rgb(182, 125, 4)",7750px,831px
collage pop,101%,#90795a,"rgb(144, 121, 90)",11620px,522px
australian metal,101%,#d6505d,"rgb(214, 80, 93)",7751px,177px
deathrash,101%,#ea3e54,"rgb(234, 62, 84)",9202px,206px
sung poetry,101%,#6f920b,"rgb(111, 146, 11)",15101px,752px
aggrotech,101%,#db696b,"rgb(219, 105, 107)",1306px,584px
christian punk,101%,#d06518,"rgb(208, 101, 24)",6887px,397px
kompa gouyad,101%,#ab981d,"rgb(171, 152, 29)",2827px,1002px
drill brasileiro,101%,#8f920b,"rgb(143, 146, 11)",9537px,1068px
pagan black metal,101%,#ce4590,"rgb(206, 69, 144)",10157px,69px
pittsburgh indie,101%,#9e7f2f,"rgb(158, 127, 47)",11239px,455px
deep rai,101%,#c97207,"rgb(201, 114, 7)",6105px,844px
viet lo-fi,101%,#78a358,"rgb(120, 163, 88)",8353px,971px
electro-industrial,101%,#cd706c,"rgb(205, 112, 108)",1664px,647px
japanese ska,101%,#d86829,"rgb(216, 104, 41)",5678px,567px
christmas instrumental,101%,#38abbe,"rgb(56, 171, 190)",17519px,784px
azeri traditional,101%,#719448,"rgb(113, 148, 72)",15968px,640px
twee pop,101%,#98862e,"rgb(152, 134, 46)",9748px,487px
instrumental bluegrass,101%,#75996f,"rgb(117, 153, 111)",14777px,791px
fidget house,101%,#c5797c,"rgb(197, 121, 124)",1621px,1118px
touhou,101%,#bf7b65,"rgb(191, 123, 101)",3903px,496px
poezja spiewana,101%,#6f9409,"rgb(111, 148, 9)",14839px,780px
asheville indie,101%,#908a3d,"rgb(144, 138, 61)",10696px,692px
rock piauiense,101%,#b87916,"rgb(184, 121, 22)",6822px,647px
melbourne indie,101%,#918a36,"rgb(145, 138, 54)",11932px,489px
cuban alternative,101%,#9d861b,"rgb(157, 134, 27)",12465px,1002px
tin pan alley,101%,#54856e,"rgb(84, 133, 110)",19543px,960px
hokkaido indie,101%,#c47219,"rgb(196, 114, 25)",5649px,463px
russian viral pop,101%,#ad8d0e,"rgb(173, 141, 14)",4216px,979px
boogaloo,101%,#9b832c,"rgb(155, 131, 44)",14722px,1050px
trova mexicana,101%,#649a03,"rgb(100, 154, 3)",15334px,873px
enka,101%,#6c9d11,"rgb(108, 157, 17)",14665px,428px
modern jazz trio,101%,#46a0b7,"rgb(70, 160, 183)",17133px,883px
pakistani folk,101%,#a17911,"rgb(161, 121, 17)",14591px,775px
atmospheric black metal,101%,#b657b8,"rgb(182, 87, 184)",10145px,46px
indonesian blues,101%,#ab7b17,"rgb(171, 123, 23)",11027px,480px
arkansas hip hop,101%,#919702,"rgb(145, 151, 2)",5969px,1123px
palestinian hip hop,101%,#9a8b10,"rgb(154, 139, 16)",10819px,967px
classical piano,101%,#20a2d5,"rgb(32, 162, 213)",21896px,516px
irish metal,101%,#cf565a,"rgb(207, 86, 90)",8253px,161px
oriental metal,101%,#d25d5b,"rgb(210, 93, 91)",6500px,215px
italian metal,101%,#b10d87,"rgb(177, 13, 135)",11137px,118px
kurdish hip hop,101%,#b08516,"rgb(176, 133, 22)",11201px,1042px
turntablism,101%,#b17249,"rgb(177, 114, 73)",5209px,1077px
riddim dubstep,101%,#d77b44,"rgb(215, 123, 68)",4318px,950px
italian power metal,101%,#d8601a,"rgb(216, 96, 26)",5150px,215px
speed garage,101%,#c37665,"rgb(195, 118, 101)",1444px,1150px
rumba congolaise,101%,#b3810a,"rgb(179, 129, 10)",13595px,940px
electro dub,101%,#a49071,"rgb(164, 144, 113)",2665px,1021px
bristol indie,101%,#987d5a,"rgb(152, 125, 90)",11102px,420px
batak,101%,#9d9111,"rgb(157, 145, 17)",7532px,545px
indie dream pop,101%,#9e8d7b,"rgb(158, 141, 123)",7332px,426px
swedish metalcore,101%,#e85517,"rgb(232, 85, 23)",2913px,197px
alternative pop,101%,#a9772f,"rgb(169, 119, 47)",10500px,393px
reading indie,101%,#af7e31,"rgb(175, 126, 49)",5703px,389px
serbian hip hop,101%,#b68011,"rgb(182, 128, 17)",7268px,1068px
chinese electropop,101%,#a1901a,"rgb(161, 144, 26)",5488px,773px
lo-fi brasileiro,101%,#6297a6,"rgb(98, 151, 166)",12601px,1016px
oceania soundtrack,101%,#3e9fbc,"rgb(62, 159, 188)",15755px,208px
classic bangla pop,101%,#6b961a,"rgb(107, 150, 26)",16284px,674px
ndombolo,101%,#c28014,"rgb(194, 128, 20)",10966px,867px
modern uplift,101%,#bc7f0c,"rgb(188, 127, 12)",4907px,405px
garhwali pop,101%,#9a8507,"rgb(154, 133, 7)",12451px,789px
riddim,101%,#b38804,"rgb(179, 136, 4)",10307px,1103px
musica nayarita,101%,#988608,"rgb(152, 134, 8)",12975px,1096px
neo-traditional country,101%,#869116,"rgb(134, 145, 22)",10331px,671px
latin house,101%,#d16685,"rgb(209, 102, 133)",1468px,1188px
brazilian house,101%,#bc8e84,"rgb(188, 142, 132)",1272px,1179px
power-pop punk,101%,#e2551a,"rgb(226, 85, 26)",7109px,307px
channel islands indie,101%,#948b23,"rgb(148, 139, 35)",10307px,577px
cape town indie,101%,#aa862f,"rgb(170, 134, 47)",4448px,802px
new england americana,101%,#769415,"rgb(118, 148, 21)",14011px,600px
cumbia uruguaya,101%,#a58f04,"rgb(165, 143, 4)",11486px,977px
british modern classical,101%,#1d9c89,"rgb(29, 156, 137)",21483px,230px
chopped and screwed,101%,#948909,"rgb(148, 137, 9)",6941px,1070px
drone metal,101%,#a26dad,"rgb(162, 109, 173)",11577px,122px
nu age,101%,#4497cc,"rgb(68, 151, 204)",17046px,212px
viral afropop,101%,#a48f0b,"rgb(164, 143, 11)",11807px,1096px
bluegrass gospel,101%,#6d931d,"rgb(109, 147, 29)",15260px,831px
reggae catala,101%,#b98408,"rgb(185, 132, 8)",5379px,912px
progressive uplifting trance,101%,#e471a1,"rgb(228, 113, 161)",1449px,468px
beach house,101%,#9d9faa,"rgb(157, 159, 170)",4419px,954px
bolobedu house,101%,#a99414,"rgb(169, 148, 20)",2447px,1190px
horrorcore,101%,#b9790c,"rgb(185, 121, 12)",5404px,1000px
downtempo bass,101%,#a09087,"rgb(160, 144, 135)",4075px,928px
turkce remix,101%,#ac9446,"rgb(172, 148, 70)",2640px,1120px
progressive trance house,101%,#b48eb2,"rgb(180, 142, 178)",1431px,1042px
sevdah,101%,#988608,"rgb(152, 134, 8)",12811px,511px
nasyid,101%,#779608,"rgb(119, 150, 8)",12699px,602px
symphonic power metal,101%,#da6119,"rgb(218, 97, 25)",4247px,188px
dc hardcore,101%,#d04e40,"rgb(208, 78, 64)",10917px,342px
scottish metal,101%,#de5448,"rgb(222, 84, 72)",6131px,204px
bozlak,101%,#779414,"rgb(119, 148, 20)",16788px,727px
american post-rock,101%,#8690c1,"rgb(134, 144, 193)",11064px,311px
japanese jazz,101%,#7a8d90,"rgb(122, 141, 144)",13615px,759px
slovenian indie,101%,#9b7a55,"rgb(155, 122, 85)",8366px,534px
jamaican ska,101%,#848a30,"rgb(132, 138, 48)",11844px,1132px
gaian doom,101%,#a37869,"rgb(163, 120, 105)",11460px,165px
classic venezuelan pop,101%,#948a18,"rgb(148, 138, 24)",13705px,918px
japanese shoegaze,101%,#b17967,"rgb(177, 121, 103)",6438px,245px
early synthpop,101%,#b57644,"rgb(181, 118, 68)",2892px,844px
american modern classical,101%,#329a8f,"rgb(50, 154, 143)",20739px,491px
